GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,tn.sellami.students.rest_spring_api.entity,Student,0,10,0,0,0,2,0,2,0,2
,tn.sellami.students.rest_spring_api.config,CacheConfig,0,36,0,0,0,12,0,3,0,3
,tn.sellami.students.rest_spring_api.config,OpenApiConfig,0,17,0,0,0,6,0,2,0,2
,tn.sellami.students.rest_spring_api.service,DepartementService,84,6,2,0,17,3,8,1,7,1
,tn.sellami.students.rest_spring_api.service,StudentService,0,108,0,2,0,24,0,11,0,10
,tn.sellami.students.rest_spring_api,RestSpringApiApplication,5,3,0,0,2,1,1,1,1,1
,tn.sellami.students.rest_spring_api.controller,StudentController,34,19,1,1,6,6,5,3,4,3
,tn.sellami.students.rest_spring_api.controller,DepartementController,33,6,0,0,6,3,5,1,5,1
,tn.sellami.students.rest_spring_api.exception,GlobalExceptionHandler,18,57,0,0,7,22,1,4,1,4
,tn.sellami.students.rest_spring_api.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
,tn.sellami.students.rest_spring_api.exception,ErrorResponse,0,18,0,0,0,1,0,1,0,1
,tn.sellami.students.rest_spring_api.mapper,DepartementMapper,27,0,0,0,7,0,3,0,3,0
,tn.sellami.students.rest_spring_api.mapper,StudentMapper,0,60,0,0,0,19,0,3,0,3
